case_id,failure_class,amount,customer_tenure_months,prior_failure_count,payment_method,merchant_category,has_structured_code,true_recoverable,true_would_recover_without_action
938100000000,insufficient_funds,466.24,71,3,card,fitness,1,0,0
938100000001,insufficient_funds,283.57,21,3,netbanking,fitness,1,0,0
938100000002,bank_decline,4434.58,72,5,upi,saas,1,1,1
938100000003,insufficient_funds,699.59,43,4,emandate,ott,1,1,1
938100000004,insufficient_funds,1476.01,46,5,netbanking,ott,1,0,0
938100000005,bank_decline,293.61,41,4,wallet,fitness,1,1,0
938100000006,insufficient_funds,2775.3,17,1,upi,edtech,1,0,0
938100000007,insufficient_funds,1173.58,18,1,emandate,saas,1,1,0
938100000008,expired_card,426.41,16,3,emandate,ott,1,0,0
938100000009,bank_decline,2558.2,70,5,netbanking,edtech,0,1,1
938100000010,bank_decline,863.6,19,3,wallet,ott,1,0,0
938100000011,mandate_cancelled,1230.67,30,3,card,saas,1,0,0
938100000012,insufficient_funds,934.75,6,0,emandate,saas,1,0,0
938100000013,insufficient_funds,1493.38,39,4,netbanking,edtech,1,0,0
938100000014,insufficient_funds,878.64,72,5,upi,saas,0,1,0
938100000015,expired_card,1715.25,11,1,netbanking,ott,1,0,0
938100000016,insufficient_funds,640.75,60,0,netbanking,saas,0,1,0
938100000017,mandate_cancelled,3273.89,42,1,emandate,ott,1,0,0
938100000018,insufficient_funds,212.97,17,4,upi,ecommerce,1,0,0
938100000019,insufficient_funds,333.92,72,4,card,ecommerce,1,0,0
938100000020,bank_decline,3502.6,53,1,upi,edtech,1,0,0
938100000021,mandate_cancelled,2448.68,26,2,wallet,ott,1,0,0
938100000022,expired_card,209.61,33,3,netbanking,fitness,1,0,0
938100000023,insufficient_funds,1577.13,50,3,emandate,ott,1,1,0
938100000024,bank_decline,1010.18,38,2,netbanking,fitness,1,1,1
938100000025,mandate_cancelled,1771.62,12,0,netbanking,ecommerce,1,0,0
938100000026,bank_decline,1579.71,51,0,upi,ecommerce,1,1,0
938100000027,mandate_cancelled,2558.7,42,1,upi,saas,0,0,0
938100000028,insufficient_funds,823.2,42,3,emandate,ecommerce,0,0,0
938100000029,expired_card,903.32,67,1,emandate,edtech,1,0,0
938100000030,mandate_cancelled,617.82,3,0,upi,saas,1,0,0
938100000031,bank_decline,1850.92,72,4,wallet,edtech,1,1,0
938100000032,insufficient_funds,334.19,72,3,card,edtech,1,0,0
938100000033,insufficient_funds,515.05,72,4,card,fitness,1,1,1
938100000034,expired_card,5902.79,12,0,wallet,saas,1,0,0
938100000035,bank_decline,601.95,41,5,upi,saas,1,1,0
938100000036,insufficient_funds,324.9,57,2,card,fitness,1,1,0
938100000037,bank_decline,4147.94,48,3,wallet,fitness,1,1,1
938100000038,expired_card,793.55,48,0,netbanking,ecommerce,0,0,0
938100000039,insufficient_funds,2677.72,69,1,netbanking,ott,1,1,0
938100000040,bank_decline,1335.42,68,5,upi,ecommerce,1,1,0
938100000041,insufficient_funds,803.24,17,1,card,fitness,1,0,0
938100000042,bank_decline,781.52,33,4,card,ecommerce,0,1,1
938100000043,insufficient_funds,1274.53,72,3,wallet,ecommerce,0,0,0
938100000044,insufficient_funds,949.94,44,3,wallet,edtech,1,0,0
938100000045,mandate_cancelled,4842.8,66,1,upi,edtech,1,0,0
938100000046,expired_card,453.39,36,3,netbanking,edtech,1,0,0
938100000047,bank_decline,10191.95,63,4,card,ecommerce,1,1,0
938100000048,expired_card,1459.64,41,0,netbanking,ecommerce,1,0,0
938100000049,expired_card,969.53,42,3,emandate,saas,1,0,0
938100000050,insufficient_funds,536.28,49,0,wallet,saas,1,1,0
938100000051,insufficient_funds,1172.55,31,3,wallet,edtech,1,0,0
938100000052,expired_card,285.68,60,1,emandate,ecommerce,0,0,0
938100000053,expired_card,2840.38,44,1,upi,ott,1,0,0
938100000054,bank_decline,1952.41,25,0,emandate,fitness,1,0,0
938100000055,bank_decline,2674.19,40,5,wallet,saas,0,1,1
938100000056,mandate_cancelled,2901.88,19,2,card,edtech,1,0,0
938100000057,insufficient_funds,704.07,31,5,wallet,fitness,1,0,0
938100000058,bank_decline,1599.88,42,2,netbanking,edtech,1,0,0
938100000059,bank_decline,1258.67,45,0,card,fitness,0,1,1
938100000060,mandate_cancelled,8078.91,24,0,upi,saas,0,0,0
938100000061,insufficient_funds,919.27,46,4,upi,ecommerce,0,0,0
938100000062,insufficient_funds,3415.68,12,0,emandate,ecommerce,1,1,0
938100000063,mandate_cancelled,2466.98,28,1,emandate,ecommerce,0,0,0
938100000064,bank_decline,816.21,9,2,emandate,ott,1,0,0
938100000065,bank_decline,27717.78,72,4,netbanking,ott,1,0,0
938100000066,insufficient_funds,1219.12,31,2,wallet,saas,1,1,0
938100000067,insufficient_funds,1293.32,72,3,netbanking,ott,0,1,0
938100000068,insufficient_funds,977.65,2,0,card,saas,1,1,0
938100000069,insufficient_funds,1144.53,57,3,wallet,saas,0,1,0
938100000070,bank_decline,1773.48,70,5,emandate,ott,1,1,0
938100000071,insufficient_funds,689.71,43,3,card,fitness,0,0,0
938100000072,expired_card,1880.16,25,4,upi,ott,1,0,0
938100000073,insufficient_funds,956.83,72,4,netbanking,saas,1,0,0
938100000074,bank_decline,1830.08,51,5,upi,edtech,1,1,0
938100000075,bank_decline,1270.94,33,5,wallet,ecommerce,1,1,0
938100000076,insufficient_funds,988.71,13,2,netbanking,ott,0,1,1
938100000077,bank_decline,1947.29,64,2,wallet,ecommerce,1,0,0
938100000078,insufficient_funds,781.17,40,4,card,edtech,0,0,0
938100000079,insufficient_funds,649.21,11,1,upi,saas,1,1,0
938100000080,bank_decline,6691.69,52,2,card,edtech,1,0,0
938100000081,insufficient_funds,820.39,41,4,card,edtech,0,0,0
938100000082,bank_decline,1872.08,72,3,wallet,fitness,1,1,0
938100000083,mandate_cancelled,816.59,22,0,netbanking,fitness,0,0,0
938100000084,insufficient_funds,1910.62,15,2,upi,fitness,1,1,0
938100000085,bank_decline,3654.07,54,3,emandate,saas,1,1,1
938100000086,insufficient_funds,1130.4,38,3,wallet,fitness,1,0,0
938100000087,mandate_cancelled,9652.29,72,4,wallet,ott,0,0,0
938100000088,insufficient_funds,893.87,64,3,card,ott,0,0,0
938100000089,bank_decline,4491.07,72,4,netbanking,edtech,1,1,0
938100000090,bank_decline,1981.24,63,3,upi,ecommerce,1,1,1
938100000091,expired_card,564.44,21,1,upi,fitness,1,0,0
938100000092,bank_decline,468.96,72,5,card,ecommerce,0,1,1
938100000093,bank_decline,839.65,72,5,wallet,saas,1,1,0
938100000094,insufficient_funds,1399.96,51,5,netbanking,ecommerce,1,0,0
938100000095,expired_card,5783.63,60,0,wallet,saas,1,0,0
938100000096,insufficient_funds,2325.83,48,0,netbanking,fitness,0,1,0
938100000097,mandate_cancelled,695.51,72,5,netbanking,edtech,0,0,0
938100000098,expired_card,1596.49,37,0,upi,saas,1,0,0
938100000099,insufficient_funds,794.86,72,5,netbanking,ecommerce,0,0,0
938100000100,expired_card,3725.98,51,2,upi,ott,0,0,0
938100000101,expired_card,1172.37,60,0,upi,ecommerce,1,0,0
938100000102,bank_decline,2379.63,38,0,card,saas,1,1,0
938100000103,expired_card,2354.91,37,4,netbanking,fitness,1,0,0
938100000104,bank_decline,934.09,22,0,emandate,saas,1,1,1
938100000105,mandate_cancelled,1235.46,6,1,emandate,ott,1,0,0
938100000106,expired_card,1702.41,72,5,netbanking,edtech,1,1,0
938100000107,expired_card,2256.15,72,4,emandate,edtech,1,0,0
938100000108,insufficient_funds,374.7,40,1,wallet,ecommerce,1,1,0
938100000109,bank_decline,1075.72,28,1,emandate,fitness,1,1,0
938100000110,insufficient_funds,902.55,72,4,emandate,ott,1,1,0
938100000111,insufficient_funds,1126.69,41,3,netbanking,saas,1,0,0
938100000112,mandate_cancelled,1729.29,55,2,emandate,edtech,1,1,1
938100000113,insufficient_funds,10648.59,60,0,emandate,ott,1,1,1
938100000114,insufficient_funds,532.59,72,4,upi,ecommerce,1,0,0
938100000115,mandate_cancelled,6157.98,72,2,netbanking,saas,1,0,0
938100000116,bank_decline,2406.31,1,0,netbanking,fitness,1,1,1
938100000117,expired_card,900.87,3,0,upi,saas,0,0,0
938100000118,expired_card,4252.03,42,3,card,fitness,1,0,0
938100000119,insufficient_funds,1510.85,72,4,wallet,ecommerce,1,1,0
938100000120,mandate_cancelled,560.04,56,2,emandate,edtech,0,1,0
938100000121,expired_card,865.54,60,0,emandate,saas,1,0,0
938100000122,insufficient_funds,1075.77,72,4,emandate,ott,1,0,0
938100000123,bank_decline,12222.57,70,2,emandate,saas,1,1,1
938100000124,bank_decline,662.07,37,0,card,ott,0,0,0
938100000125,bank_decline,616.92,47,0,emandate,saas,1,1,0
938100000126,insufficient_funds,1079.85,52,4,wallet,ecommerce,0,0,0
938100000127,bank_decline,12335.44,50,3,emandate,edtech,1,1,1
938100000128,insufficient_funds,219.63,72,4,wallet,edtech,1,0,0
938100000129,expired_card,2504.61,37,0,upi,ecommerce,0,1,0
938100000130,insufficient_funds,1559.79,72,4,wallet,fitness,1,0,0
938100000131,bank_decline,29439.56,72,5,upi,edtech,1,1,1
938100000132,bank_decline,915.9,4,0,card,ott,0,1,0
938100000133,insufficient_funds,724.51,72,4,netbanking,ecommerce,1,0,0
938100000134,bank_decline,2681.81,72,4,netbanking,edtech,1,1,0
938100000135,mandate_cancelled,1707.62,12,0,netbanking,ecommerce,0,0,0
938100000136,mandate_cancelled,6038.07,60,0,card,fitness,1,0,0
938100000137,bank_decline,1377.07,52,5,emandate,edtech,1,1,0
938100000138,insufficient_funds,498.65,72,4,netbanking,ecommerce,1,1,0
938100000139,mandate_cancelled,438.87,6,0,wallet,saas,1,0,0
938100000140,expired_card,3429.65,19,2,emandate,edtech,1,0,0
938100000141,mandate_cancelled,2546.35,2,0,wallet,saas,1,0,0
938100000142,expired_card,8663.38,45,2,card,fitness,0,0,0
938100000143,mandate_cancelled,3853.41,56,5,upi,ecommerce,1,0,0
938100000144,mandate_cancelled,970.16,44,2,wallet,ott,0,1,0
938100000145,insufficient_funds,284.04,47,5,netbanking,edtech,1,0,0
938100000146,insufficient_funds,350.46,69,4,wallet,ott,1,0,0
938100000147,bank_decline,618.5,40,4,emandate,edtech,0,1,0
938100000148,mandate_cancelled,4110.83,19,1,wallet,fitness,0,0,0
938100000149,bank_decline,5426.99,40,1,wallet,ecommerce,0,1,1
938100000150,insufficient_funds,1484.49,33,4,emandate,saas,0,1,0
938100000151,bank_decline,5231.79,55,1,netbanking,ott,1,1,0
938100000152,insufficient_funds,1425.45,45,0,upi,ecommerce,1,0,0
938100000153,insufficient_funds,1127.73,21,2,upi,fitness,1,1,0
938100000154,bank_decline,470.61,69,3,upi,ott,1,1,0
938100000155,insufficient_funds,4220.57,60,0,wallet,fitness,1,1,0
938100000156,mandate_cancelled,1024.73,21,2,emandate,edtech,1,0,0
938100000157,bank_decline,991.21,34,4,emandate,saas,0,1,0
938100000158,expired_card,2652.87,67,1,emandate,saas,0,1,0
938100000159,mandate_cancelled,3256.34,24,2,card,edtech,1,1,0
938100000160,mandate_cancelled,413.37,29,0,card,ott,1,0,0
938100000161,bank_decline,1675.1,55,3,netbanking,ecommerce,1,0,0
938100000162,mandate_cancelled,2832.94,51,0,upi,ecommerce,0,0,0
938100000163,bank_decline,4306.06,51,3,emandate,saas,0,1,0
938100000164,mandate_cancelled,1462.57,48,0,emandate,fitness,1,0,0
938100000165,insufficient_funds,129.53,13,1,netbanking,ecommerce,1,1,0
938100000166,mandate_cancelled,668.73,21,2,emandate,ott,1,1,0
938100000167,bank_decline,131.44,19,4,upi,ott,1,1,0
938100000168,bank_decline,11579.3,64,2,card,ott,0,1,1
938100000169,mandate_cancelled,3072.68,47,0,upi,edtech,1,0,0
938100000170,mandate_cancelled,1862.16,12,0,netbanking,ott,1,0,0
938100000171,expired_card,1521.54,11,2,wallet,edtech,0,0,0
938100000172,insufficient_funds,1137.21,50,3,wallet,ott,1,0,0
938100000173,insufficient_funds,1467.8,19,2,netbanking,ott,1,1,1
938100000174,expired_card,3211.05,3,0,wallet,fitness,1,0,0
938100000175,mandate_cancelled,491.69,28,4,card,fitness,0,0,0
938100000176,insufficient_funds,472.84,32,3,wallet,saas,0,0,0
938100000177,insufficient_funds,942.06,72,5,upi,saas,0,0,0
938100000178,mandate_cancelled,2517.02,48,0,upi,edtech,1,0,0
938100000179,insufficient_funds,1781.71,36,0,netbanking,ecommerce,0,1,0
938100000180,insufficient_funds,604.66,18,3,netbanking,ott,1,0,0
938100000181,mandate_cancelled,3202.15,18,3,upi,ecommerce,1,0,0
938100000182,insufficient_funds,296.87,72,4,card,saas,1,1,0
938100000183,mandate_cancelled,4826.87,7,1,netbanking,saas,1,0,0
938100000184,expired_card,1079.44,36,1,upi,ecommerce,1,1,0
938100000185,bank_decline,4385.43,68,4,emandate,saas,0,1,0
938100000186,bank_decline,2059.47,68,4,card,ott,1,1,1
938100000187,bank_decline,1853.42,29,3,wallet,fitness,1,1,1
938100000188,bank_decline,197.25,12,0,netbanking,saas,1,0,0
938100000189,bank_decline,612.64,66,5,upi,edtech,0,1,0
938100000190,bank_decline,568.22,34,4,card,fitness,1,1,0
938100000191,insufficient_funds,1045.68,8,1,card,ecommerce,1,1,0
938100000192,bank_decline,1275.63,72,3,wallet,ecommerce,1,1,0
938100000193,insufficient_funds,980.48,7,1,wallet,ott,0,1,0
938100000194,expired_card,3022.77,22,2,upi,ott,1,0,0
938100000195,bank_decline,2146.63,8,1,upi,ott,1,1,1
938100000196,mandate_cancelled,2116.73,21,1,wallet,ecommerce,1,0,0
938100000197,insufficient_funds,874.83,6,0,upi,fitness,1,0,0
938100000198,bank_decline,886.1,19,1,card,fitness,1,0,0
938100000199,insufficient_funds,1582.99,67,3,upi,fitness,1,0,0
938100000200,bank_decline,2750.01,69,1,upi,ott,1,1,0
938100000201,insufficient_funds,1042.07,48,0,card,ott,1,1,0
938100000202,bank_decline,1404.85,13,1,netbanking,ecommerce,1,0,0
938100000203,insufficient_funds,3620.2,21,0,wallet,ott,0,0,0
938100000204,expired_card,819.52,23,3,emandate,fitness,1,0,0
938100000205,insufficient_funds,1137.38,72,3,wallet,fitness,1,0,0
938100000206,bank_decline,861.81,45,0,emandate,ott,0,1,0
938100000207,mandate_cancelled,1732.8,42,0,netbanking,ecommerce,1,0,0
938100000208,bank_decline,421.16,66,5,netbanking,fitness,1,1,1
938100000209,insufficient_funds,1259.7,72,5,emandate,edtech,1,0,0
938100000210,mandate_cancelled,1237.91,72,5,upi,ecommerce,0,0,0
938100000211,expired_card,211.81,30,3,upi,ecommerce,1,0,0
938100000212,mandate_cancelled,876.84,22,0,wallet,saas,0,0,0
938100000213,mandate_cancelled,4705.35,11,1,wallet,ott,1,0,0
938100000214,bank_decline,204.1,72,5,upi,edtech,0,1,0
938100000215,bank_decline,3448.24,72,4,card,ott,1,1,1
938100000216,bank_decline,3538.68,45,3,upi,ecommerce,0,1,1
938100000217,insufficient_funds,203.21,23,3,emandate,fitness,1,0,0
938100000218,mandate_cancelled,983.98,27,0,upi,ott,1,0,0
938100000219,insufficient_funds,871.22,52,3,netbanking,fitness,0,0,0
938100000220,insufficient_funds,365.41,17,4,emandate,saas,0,0,0
938100000221,insufficient_funds,759.22,55,0,card,saas,0,1,0
938100000222,insufficient_funds,730.53,33,5,wallet,edtech,0,1,0
938100000223,insufficient_funds,669.52,51,1,card,ott,1,1,0
938100000224,insufficient_funds,474.0,72,5,netbanking,fitness,1,0,0
938100000225,mandate_cancelled,1924.87,9,2,wallet,ott,1,0,0
938100000226,insufficient_funds,1209.76,25,0,wallet,edtech,1,1,1
938100000227,bank_decline,5861.78,59,3,wallet,ecommerce,1,1,0
